name,trains,area,latitude,longitude
Adlershof,"S45, S46, S8, S85, S9",B,52.434735,13.5415575
Ahrensfelde,S7,B,52.5713397,13.5656581
Alexanderplatz,"S3, S5, S7, S9",A,52.5215661,13.4112804
Alt-Reinickendorf,S25,B,52.5777843,13.3512427
Altglienicke,"S45, S9",B,52.4069533,13.5582554
Anhalter Bahnhof,"S1, S2, S25, S26",A,52.5035788,13.3814763
Attilastraße,S2,B,52.4480308,13.3607503
Babelsberg,S7,C,52.3914035,13.0929636
Baumschulenweg,"S45, S46, S47, S8, S85, S9",B,52.4674002,13.4898621
Bellevue,"S3, S5, S7, S9",A,52.519985,13.3480704
Bergfelde,S8,C,52.6701184,13.3204109
Bernau,S2,C,52.6755442,13.5917168
Bernau-Friedenstal,S2,C,52.6683942,13.5646108
Betriebsbahnhof Rummelsburg,S3,B,52.4938868,13.4977302
Beusselstraße,"S41, S42",A,52.5344077,13.3293873
Biesdorf,S5,B,52.5130873,13.5558463
Birkenstein,S5,C,52.5156883,13.6478198
Birkenwerder,"S1, S8",C,52.6886604,13.2886929
Blankenburg,"S2, S8",B,52.5914655,13.4434822
Blankenfelde,S2,C,52.3384429,13.4153952
Borgsdorf,S1,C,52.7153989,13.2764713
Bornholmer Straße,"S1, S2, S25, S26, S8, S85",B,52.5547713,13.3978451
Botanischer Garten,S1,B,52.4479557,13.3071282
Brandenburger Tor,"S1, S2, S25, S26",A,52.5164415,13.3818418
Buch,S2,B,52.6358345,13.4916378
Buckower Chaussee,S2,B,52.410545,13.3827717
Bundesplatz,"S41, S42, S46",A,52.477658,13.3295474
Charlottenburg,"S3, S5, S7, S9",A,52.5050484,13.3045162
Eichborndamm,S25,B,52.5776294,13.3166204
Eichwalde,"S46, S8",C,52.3709698,13.6155551
Erkner,S3,C,52.4294226,13.7510608
Feuerbachstraße,S1,B,52.463673,13.3326994
Flughafen BER T1-2,"S45, S9",C,52.3634525,13.5127834
Flughafen BER T5,"S45, S9",C,52.3910102,13.5140412
Frankfurter Allee,"S41, S42, S8, S85",A,52.5149375,13.4745707
Fredersdorf,S5,C,52.5262465,13.7604458
Friedenau,S1,B,52.4707164,13.3415003
Friedrichsfelde Ost,"S5, S7, S75",B,52.5141126,13.520088
Friedrichshagen,S3,B,52.4573763,13.6232934
Friedrichstraße,"S1, S2, S25, S26, S3, S5, S7, S9",A,52.5204967,13.3868236
Frohnau,S1,B,52.632409,13.2902205
Gehrenseestraße,S75,B,52.5564975,13.5247623
Gesundbrunnen,"S1, S2, S25, S26, S41, S42",A,52.5491748,13.3900758
Greifswalder Straße,"S41, S42, S8, S85",A,52.5402462,13.4389887
Griebnitzsee,S7,C,52.3944579,13.1272716
Grunewald,S7,B,52.4882479,13.2610104
Grünau,"S46, S8, S85",B,52.4128789,13.5736378
Grünbergallee,"S45, S9",B,52.3992998,13.5419036
Hackescher Markt,"S3, S5, S7, S9",A,52.5226808,13.4023418
Halensee,"S41, S42, S46",A,52.4960247,13.2905555
Hauptbahnhof,"S3, S5, S7, S9",A,52.5252949,13.3706843
Heerstraße,"S3, S9",B,52.5078537,13.2598587
Hegermühle,S5,C,52.5483832,13.8663624
Heidelberger Platz,"S41, S42, S46",A,52.4802953,13.3114364
Heiligensee,S25,B,52.6246647,13.229194
Hennigsdorf,S25,C,52.6374079,13.2060771
Hermannstraße,"S41, S42, S45, S46, S47",A,52.4676341,13.4312408
Hermsdorf,S1,B,52.6174544,13.3075189
Hirschgarten,S3,B,52.4579033,13.6031386
Hohen Neuendorf,"S1, S8",C,52.66865,13.2870408
Hohenschönhausen,S75,B,52.5662755,13.5124988
Hohenzollerndamm,"S41, S42, S46",A,52.488627,13.3002415
Hoppegarten (Mark),S5,C,52.5182432,13.6742567
Humboldthain,"S1, S2, S25, S26",A,52.5449517,13.3794684
Innsbrucker Platz,"S41, S42, S46",A,52.4781074,13.3415409
Jannowitzbrücke,"S3, S5, S7, S9",A,52.5142146,13.4194925
Johannisthal,"S45, S46, S8, S85, S9",B,52.4469899,13.5235435
Julius-Leber-Brücke,S1,A,52.4865053,13.3611679
Jungfernheide,"S41, S42",A,52.5304034,13.299269
Karl-Bonhoeffer-Nervenklinik,S25,B,52.578019,13.3291747
Karlshorst,S3,B,52.4804671,13.527279
Karow,S2,B,52.6152148,13.4694647
Kaulsdorf,S5,B,52.5121351,13.5901922
Köllnische Heide,"S45, S46, S47",B,52.4696457,13.4679658
Königs Wusterhausen,S46,C,52.2974188,13.6321629
Köpenick,S3,B,52.458577,13.5815192
Landsberger Allee,"S41, S42, S8, S85",A,52.529482,13.4547803
Lankwitz,"S25, S26",B,52.4387852,13.3420633
Lehnitz,S1,C,52.7413924,13.2631905
Lichtenberg,"S5, S7, S75",B,52.5102343,13.4978129
Lichtenrade,S2,B,52.388567,13.3959241
Lichterfelde Ost,"S25, S26",B,52.4298633,13.3280815
Lichterfelde Süd,"S25, S26",B,52.4099669,13.3085527
Lichterfelde West,S1,B,52.4433056,13.2935862
Mahlow,S2,C,52.3606346,13.4078294
Mahlsdorf,S5,B,52.5120903,13.6104126
Marienfelde,S2,B,52.4242122,13.3746844
Marzahn,S7,B,52.5436548,13.5413545
Mehrower Allee,S7,B,52.557608,13.5535509
Messe Nord / ICC (Witzleben),"S41, S42, S46",A,52.5080754,13.2823034
Messe Süd (Eichkamp),"S3, S9",B,52.4986377,13.2702326
Mexikoplatz,S1,B,52.4367661,13.2332397
Mühlenbeck-Mönchmühle,S8,C,52.654749,13.3862202
Neuenhagen,S5,C,52.5201577,13.7001204
Neukölln,"S41, S42, S45, S46, S47",A,52.4695134,13.4437571
Nikolassee,"S1, S7",B,52.432055,13.1931603
Nordbahnhof,"S1, S2, S25, S26",A,52.5322749,13.3878392
Nöldnerplatz,"S5, S7, S75",B,52.5038434,13.4853253
Oberspree,S47,B,52.4524146,13.538075
Olympiastadion,"S3, S9",B,52.5112644,13.242828
Oranienburg,S1,C,52.7539716,13.2489095
Oranienburger Straße,"S1, S2, S25, S26",A,52.5252246,13.3930145
Osdorfer Straße,"S25, S26",B,52.4188742,13.3142499
Ostbahnhof,"S3, S5, S7, S9",A,52.5107448,13.4351709
Ostkreuz,"S3, S41, S42, S5, S7, S75, S8, S85",A,52.5031523,13.4695776
Pankow,"S2, S8, S85",B,52.5662755,13.4103397
Pankow-Heinersdorf,"S2, S8",B,52.5780653,13.4295093
Petershagen Nord,S5,C,52.5288655,13.7890139
Pichelsberg,"S3, S9",B,52.5101503,13.2276304
Plänterwald,"S8, S85, S9",B,52.4785887,13.4732395
Poelchaustraße,S7,B,52.5358712,13.5355776
Potsdam Hbf,S7,C,52.3917908,13.0672397
Potsdamer Platz,"S1, S2, S25, S26",A,52.5094035,13.3766399
Prenzlauer Allee,"S41, S42, S8, S85",A,52.5447901,13.4259805
Priesterweg,"S2, S25, S26",B,52.4599231,13.356253
Rahnsdorf,S3,B,52.4516372,13.6899776
Raoul-Wallenberg-Straße,S7,B,52.5507334,13.5475595
Rathaus Steglitz,S1,B,52.4555293,13.3224998
Rummelsburg,S3,B,52.501288,13.478367
Röntgental,S2,C,52.6486814,13.5136021
Savignyplatz,"S3, S5, S7, S9",A,52.5051746,13.3190659
Schichauweg,S2,B,52.3985425,13.3893931
Schlachtensee,S1,B,52.440088,13.2154373
Schulzendorf,S25,B,52.6129169,13.2460234
Schöneberg,"S1, S41, S42, S46",A,52.4793491,13.3519181
Schöneweide,"S45, S46, S47, S8, S85, S9",B,52.4549058,13.5097653
Schönfließ,S8,C,52.6647002,13.3400405
Schönhauser Allee,"S41, S42, S8, S85",A,52.549243,13.4155955
Schönholz,"S1, S25, S26",B,52.5715004,13.3809904
Sonnenallee,"S41, S42",A,52.4729807,13.4556896
Spandau,"S3, S9",B,52.5347721,13.1974528
Spindlersfeld,S47,B,52.4468976,13.5615738
Springpfuhl,"S7, S75",B,52.52704,13.5365518
Storkower Straße,"S41, S42, S8, S85",A,52.5237432,13.4648885
Strausberg,S5,C,52.5327622,13.8359863
Strausberg Nord,S5,C,52.5902873,13.9085199
Strausberg Stadt,S5,C,52.5766818,13.8878521
Stresow,"S3, S9",B,52.5319419,13.2093454
Sundgauer Straße,S1,B,52.4364399,13.2742012
Südende,"S25, S26",B,52.448279,13.3537492
Südkreuz,"S2, S25, S26, S41, S42, S45, S46",A,52.4759806,13.3650726
Tegel,S25,B,52.5881913,13.2896968
Teltow Stadt,"S25, S26",C,52.396844,13.2762483
Tempelhof,"S41, S42, S45, S46",A,52.4709704,13.3844457
Tiergarten,"S3, S5, S7, S9",A,52.5143746,13.3364504
Treptower Park,"S41, S42, S8, S85, S9",A,52.4938491,13.4618296
Waidmannslust,"S1, S26",B,52.6062718,13.321194
Wannsee,"S1, S7",B,52.4214071,13.1798077
Warschauer Straße,"S3, S5, S7, S75, S9",A,52.5063685,13.4501205
Wartenberg,S75,B,52.572982,13.5038322
Waßmannsdorf,"S45, S9",C,52.3682829,13.4634328
Wedding,"S41, S42",A,52.5427866,13.3669996
Westend,"S41, S42, S46",A,52.5180135,13.2844201
Westhafen,"S41, S42",A,52.5362768,13.3444152
Westkreuz,"S3, S41, S42, S46, S5, S7, S9",A,52.5010288,13.2847452
Wildau,"S46, S8",C,52.3194124,13.6338248
Wilhelmshagen,S3,B,52.4384919,13.7223287
Wilhelmsruh,"S1, S26",B,52.5816944,13.3622403
Wittenau,"S1, S26",B,52.597052,13.3342591
Wollankstraße,"S1, S25, S26",B,52.5651525,13.3923627
Wuhletal,S5,B,52.5126943,13.5754399
Wuhlheide,S3,B,52.4685507,13.5543359
Yorckstraße,"S2, S25, S26",A,52.4922745,13.3678588
Yorckstraße (Großgörschenstraße),S1,A,52.4922745,13.3678588
Zehlendorf,S1,B,52.4310735,13.2585888
Zepernick,S2,C,52.6596833,13.5338475
Zeuthen,"S46, S8",C,52.3484435,13.627647
Zoologischer Garten,"S3, S5, S7, S9",A,52.5071378,13.331868
